timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_19_density,genotype_16_density,genotype_17_density,genotype_20_density,genotype_24_density,genotype_15_density,genotype_18_density,genotype_22_density,genotype_25_density,genotype_28_density
25,960,60,0.0,0.008333333333333333,0.0010416666666666667,0.9230769230769231,73.29755502801234,13,0.9791666666666666,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,0.003125,0.0010416666666666667,0.003125,0.0010416666666666667,0.0010416666666666667,,0.0020833333333333333,,,,,,,,,,,,,,
26,982,60,0.0,0.009164969450101833,0.002036659877800407,0.9230769230769231,72.57188909984076,13,0.9786150712830958,0.002036659877800407,0.002036659877800407,0.002036659877800407,0.003054989816700611,0.0010183299389002036,0.003054989816700611,0.0010183299389002036,,,0.002036659877800407,0.002036659877800407,,,,,,,,,,,,,
27,1000,60,0.0,0.009,0.003,0.9285714285714286,71.90690338826832,14,0.978,0.002,0.002,0.002,0.003,0.001,0.003,0.001,,,0.002,0.002,,,,,,,,,,,,,
28,1025,60,0.0,0.00878048780487805,0.002926829268292683,0.9285714285714286,71.16831030343134,14,0.9775609756097561,0.001951219512195122,0.001951219512195122,0.001951219512195122,0.002926829268292683,0.000975609756097561,0.002926829268292683,,,0.001951219512195122,0.001951219512195122,0.001951219512195122,,,,,,,,,,,,,
29,1045,60,0.0,0.009569377990430622,0.0028708133971291866,0.9285714285714286,70.50637944552273,14,0.9770334928229665,0.0019138755980861245,0.0028708133971291866,0.0019138755980861245,0.0028708133971291866,0.0009569377990430622,0.0028708133971291866,,,0.0019138755980861245,0.0019138755980861245,0.0019138755980861245,,,,,,,,,,,,,
30,1060,60,0.0,0.009433962264150943,0.002830188679245283,0.9285714285714286,69.91157833483774,14,0.9773584905660377,0.0018867924528301887,0.002830188679245283,0.0018867924528301887,0.002830188679245283,0.0009433962264150943,0.002830188679245283,,,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887,,,,,,,,,,,,,
31,1083,60,0.0,0.009233610341643583,0.002770083102493075,0.9285714285714286,69.25893308311198,14,0.9778393351800554,0.0018467220683287165,0.002770083102493075,0.0018467220683287165,0.002770083102493075,0.0009233610341643582,0.002770083102493075,,,0.0018467220683287165,0.0018467220683287165,0.0018467220683287165,,,,,,,,,,,,,
32,1100,60,0.0,0.00909090909090909,0.0027272727272727275,0.9285714285714286,68.67597487529801,14,0.9781818181818182,0.0018181818181818182,0.0027272727272727275,0.0018181818181818182,0.0027272727272727275,0.0009090909090909091,0.0027272727272727275,,,0.0018181818181818182,0.0018181818181818182,0.0018181818181818182,,,,,,,,,,,,,
33,1115,60,0.0,0.008968609865470852,0.0026905829596412557,0.9285714285714286,68.11793842775718,14,0.97847533632287,0.0017937219730941704,0.0026905829596412557,0.0017937219730941704,0.0026905829596412557,0.0008968609865470852,0.0026905829596412557,,,0.0017937219730941704,0.0017937219730941704,0.0017937219730941704,,,,,,,,,,,,,
34,1139,60,0.0,0.00877963125548727,0.0026338893766461808,0.9333333333333333,67.50798437430582,15,0.9771729587357331,0.001755926251097454,0.0026338893766461808,0.001755926251097454,0.0026338893766461808,,0.0026338893766461808,,,0.001755926251097454,0.001755926251097454,0.001755926251097454,0.001755926251097454,,,,,,,,,,,,
35,1166,60,0.0,0.008576329331046312,0.002572898799313894,0.9375,66.8983534790729,16,0.9768439108061749,0.0017152658662092624,0.002572898799313894,0.0017152658662092624,0.002572898799313894,,0.002572898799313894,,,0.0017152658662092624,0.0017152658662092624,0.0017152658662092624,0.0017152658662092624,,,,,,,,,,,,
