timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density
1,430,80,0.0,0.0,0.002325581395348837,0.5,117.45627906976745,2,0.9976744186046511,0.002325581395348837,,,,,,,
2,463,80,0.0,0.0,0.0021598272138228943,0.5,112.86407563502112,2,0.9978401727861771,0.0021598272138228943,,,,,,,
3,490,80,0.0,0.0,0.0020408163265306124,0.5,109.46061469986628,2,0.9979591836734694,0.0020408163265306124,,,,,,,
4,525,80,0.0,0.0,0.0019047619047619048,0.6666666666666666,105.68125167543404,3,0.9961904761904762,0.0019047619047619048,0.0019047619047619048,,,,,,
5,567,80,0.0,0.0,0.001763668430335097,0.6666666666666666,101.82289594454573,3,0.9964726631393298,0.001763668430335097,0.001763668430335097,,,,,,
6,598,80,0.0,0.0,0.0016722408026755853,0.6666666666666666,99.18312084321504,3,0.9966555183946488,0.0016722408026755853,0.0016722408026755853,,,,,,
7,632,80,0.0,0.0,0.0015822784810126582,0.75,96.60868579698528,4,0.995253164556962,0.0015822784810126582,0.0015822784810126582,0.0015822784810126582,,,,,
8,666,80,0.0,0.0,0.0015015015015015015,0.8,94.27709871452585,5,0.993993993993994,0.0015015015015015015,0.0015015015015015015,0.0015015015015015015,0.0015015015015015015,,,,
9,695,80,0.0,0.0,0.0014388489208633094,0.8,92.38949856855524,5,0.9942446043165467,0.0014388489208633094,0.0014388489208633094,0.0014388489208633094,0.0014388489208633094,,,,
10,733,80,0.0,0.0,0.001364256480218281,0.8,90.2603727936909,5,0.9945429740791268,0.001364256480218281,0.001364256480218281,0.001364256480218281,0.001364256480218281,,,,
11,751,80,0.0,0.0,0.0013315579227696406,0.8,89.08446561170545,5,0.9946737683089214,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,,,,
12,772,80,0.0,0.0,0.0012953367875647669,0.8,87.84710146860623,5,0.9948186528497409,0.0012953367875647669,0.0012953367875647669,0.0012953367875647669,0.0012953367875647669,,,,
13,802,80,0.0,0.0,0.003740648379052369,0.8333333333333334,86.36424468753242,6,0.9925187032418953,0.0024937655860349127,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,0.0012468827930174563,,,
14,836,80,0.0,0.0,0.004784688995215311,0.8333333333333334,84.8203988028125,6,0.9916267942583732,0.0035885167464114833,0.0011961722488038277,0.0011961722488038277,0.0011961722488038277,0.0011961722488038277,,,
15,864,80,0.0,0.0,0.004629629629629629,0.8333333333333334,83.53745844015137,6,0.9918981481481481,0.003472222222222222,0.0011574074074074073,0.0011574074074074073,0.0011574074074074073,0.0011574074074074073,,,
16,884,80,0.0,0.0,0.005656108597285068,0.8333333333333334,82.52680380972994,6,0.9909502262443439,0.003393665158371041,0.0011312217194570137,0.0011312217194570137,0.0011312217194570137,0.0022624434389140274,,,
17,905,80,0.0,0.0,0.0055248618784530384,0.8333333333333334,81.50720723675968,6,0.9911602209944751,0.0033149171270718232,0.0011049723756906078,0.0011049723756906078,0.0011049723756906078,0.0022099447513812156,,,
18,937,80,0.0,0.0,0.005336179295624333,0.8333333333333334,80.28594194328699,6,0.991462113127001,0.0032017075773745998,0.0010672358591248667,0.0010672358591248667,0.0010672358591248667,0.0021344717182497333,,,
19,959,80,0.0,0.0,0.006256517205422315,0.8333333333333334,79.3359955367303,6,0.9906152241918665,0.004171011470281543,0.0010427528675703858,0.0010427528675703858,0.0010427528675703858,0.0020855057351407717,,,
20,984,80,0.0,0.0,0.007113821138211382,0.8333333333333334,78.35391147527181,6,0.9898373983739838,0.0040650406504065045,0.0010162601626016261,0.0010162601626016261,0.0010162601626016261,0.003048780487804878,,,
21,1010,80,0.0,0.0,0.006930693069306931,0.8571428571428571,77.37242774972792,7,0.9891089108910891,0.0039603960396039604,0.0009900990099009901,0.0009900990099009901,0.0009900990099009901,0.0029702970297029703,0.0009900990099009901,,
22,1040,80,0.0,0.0,0.006730769230769231,0.875,76.36243691459421,8,0.9884615384615385,0.0038461538461538464,0.0009615384615384616,0.0009615384615384616,0.0009615384615384616,0.0028846153846153848,0.0009615384615384616,0.0009615384615384616,
